epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,862.493,0.6157,0.47925,0.8915,0.78754,0.76106,0.79942,0.60262,0.83808,0.85366,0.99137,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
58,877.809,0.6124,0.47605,0.88682,0.80375,0.75418,0.81512,0.60384,0.82462,0.79893,0.97986,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357
59,893.519,0.59799,0.46161,0.88575,0.77535,0.80131,0.80353,0.59526,0.84016,0.80476,1.00317,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
60,908.87,0.59757,0.46352,0.88191,0.7974,0.76742,0.8122,0.60629,0.84791,0.82148,1.00799,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159
61,924.186,0.59146,0.46629,0.88848,0.85987,0.72494,0.81975,0.61025,0.86916,0.80588,1.00269,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
62,939.627,0.59674,0.45952,0.88635,0.76484,0.77623,0.80387,0.60213,0.85422,0.84615,0.98989,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961
63,955.028,0.59547,0.46457,0.88927,0.80538,0.79315,0.8254,0.61831,0.82133,0.7605,0.98248,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
64,970.335,0.58496,0.45057,0.88445,0.77362,0.78947,0.81921,0.62134,0.81523,0.79884,0.96778,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763
65,985.414,0.59384,0.45544,0.89074,0.77386,0.80045,0.81352,0.6164,0.83522,0.79861,0.98906,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
66,1000.2,0.58741,0.45288,0.88594,0.78839,0.80259,0.81509,0.61278,0.84043,0.75341,1.00865,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
67,1014.83,0.58752,0.45127,0.88573,0.81757,0.74857,0.80974,0.60701,0.84462,0.81579,0.99811,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
68,1029.37,0.58197,0.44904,0.8763,0.75963,0.81105,0.81753,0.61881,0.82324,0.75101,0.99935,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367
69,1044.15,0.57944,0.44373,0.87033,0.79358,0.78079,0.81071,0.6141,0.80521,0.80913,0.98884,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
