epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
75,794.784,0.6542,0.50786,0.89964,0.81013,0.73982,0.80729,0.59399,0.88775,0.86096,1.03891,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
76,804.476,0.64396,0.51113,0.90026,0.79898,0.6984,0.76735,0.57883,0.87511,0.91231,1.01165,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
77,814.194,0.64308,0.50589,0.89664,0.82329,0.71159,0.78224,0.582,0.86606,0.89061,0.99822,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
78,824.021,0.65504,0.51692,0.89774,0.78713,0.72735,0.77646,0.58279,0.88311,0.9008,1.01964,0.0277131,0.0092377,0.0277131,0.0092377,0.0277131,0.0092377,0.0277131,0.0092377
79,834.216,0.64626,0.50764,0.89891,0.78932,0.7524,0.77796,0.57606,0.90699,0.95082,1.0472,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
80,843.919,0.65485,0.51569,0.89981,0.82382,0.74474,0.79344,0.60087,0.87462,0.87907,1.02186,0.0276537,0.0092179,0.0276537,0.0092179,0.0276537,0.0092179,0.0276537,0.0092179
81,853.77,0.64283,0.49861,0.89669,0.8343,0.70501,0.78451,0.58489,0.86219,0.88656,0.99683,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
82,863.444,0.64713,0.51117,0.89218,0.80151,0.73589,0.78733,0.58756,0.8637,0.85813,1.00644,0.0275943,0.0091981,0.0275943,0.0091981,0.0275943,0.0091981,0.0275943,0.0091981
83,873.339,0.63797,0.5091,0.89267,0.78264,0.72388,0.7835,0.58276,0.87645,0.90591,1.01768,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
84,883.244,0.64034,0.50351,0.8906,0.8042,0.70812,0.78938,0.57988,0.89586,0.88995,1.05463,0.0275349,0.0091783,0.0275349,0.0091783,0.0275349,0.0091783,0.0275349,0.0091783
85,893.205,0.62167,0.49032,0.89214,0.81498,0.72205,0.78182,0.57737,0.90208,0.87363,1.01734,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
86,903.097,0.64445,0.51193,0.89307,0.84031,0.67373,0.79488,0.58022,0.91638,0.90849,1.03693,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
87,912.791,0.63037,0.489,0.89031,0.81404,0.72199,0.79531,0.58646,0.89611,0.86029,1.03375,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
88,922.494,0.62813,0.4875,0.89032,0.80572,0.72474,0.789,0.5861,0.87973,0.84626,1.01899,0.0274161,0.0091387,0.0274161,0.0091387,0.0274161,0.0091387,0.0274161,0.0091387
89,932.187,0.62422,0.48941,0.8895,0.85274,0.69891,0.78347,0.58216,0.90017,0.88645,1.0357,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
90,942.042,0.63592,0.49296,0.89068,0.81521,0.71821,0.79458,0.58136,0.92584,0.87367,1.05787,0.0273567,0.0091189,0.0273567,0.0091189,0.0273567,0.0091189,0.0273567,0.0091189
91,951.927,0.63748,0.49716,0.89603,0.80033,0.72875,0.78473,0.57244,0.91932,0.88277,1.06116,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
92,961.571,0.61786,0.47525,0.88552,0.7876,0.7428,0.78997,0.57951,0.89603,0.88799,1.03678,0.0272973,0.0090991,0.0272973,0.0090991,0.0272973,0.0090991,0.0272973,0.0090991
93,970.912,0.62692,0.49115,0.89476,0.83459,0.72462,0.80246,0.58474,0.8886,0.86734,1.02037,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
94,980.292,0.62308,0.47904,0.88664,0.79286,0.72205,0.76915,0.57087,0.88648,0.92178,1.04634,0.0272379,0.0090793,0.0272379,0.0090793,0.0272379,0.0090793,0.0272379,0.0090793
95,989.763,0.6285,0.47974,0.8918,0.7675,0.74102,0.78169,0.57903,0.89891,0.91167,1.03899,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
96,999.248,0.60721,0.47494,0.88835,0.79319,0.70732,0.77838,0.58051,0.88625,0.88084,1.03354,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
97,1008.95,0.6193,0.4784,0.89176,0.78697,0.74577,0.78238,0.57985,0.86159,0.84377,1.0151,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
98,1020.95,0.62426,0.47992,0.88645,0.81449,0.6864,0.78525,0.57792,0.86771,0.89045,1.00359,0.0271191,0.0090397,0.0271191,0.0090397,0.0271191,0.0090397,0.0271191,0.0090397
99,1031.31,0.61701,0.47381,0.88665,0.80422,0.69817,0.76463,0.56996,0.87828,0.90279,1.0211,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
100,1041.04,0.61525,0.47608,0.8914,0.79788,0.70119,0.78401,0.57453,0.90326,0.94719,1.02631,0.0270597,0.0090199,0.0270597,0.0090199,0.0270597,0.0090199,0.0270597,0.0090199
101,1050.58,0.61494,0.47085,0.8871,0.83615,0.68176,0.77621,0.57401,0.88153,0.92877,1.03627,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
102,1060.2,0.59903,0.46677,0.88306,0.7951,0.73995,0.79057,0.58718,0.90436,0.88169,1.03999,0.0270003,0.0090001,0.0270003,0.0090001,0.0270003,0.0090001,0.0270003,0.0090001
103,1069.81,0.61249,0.47161,0.8835,0.78514,0.7568,0.78626,0.57923,0.91951,0.91049,1.05118,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
104,1079.39,0.62231,0.47955,0.88754,0.77667,0.75209,0.789,0.57742,0.89511,0.86919,1.05787,0.0269409,0.0089803,0.0269409,0.0089803,0.0269409,0.0089803,0.0269409,0.0089803
105,1088.93,0.60544,0.46907,0.88279,0.8131,0.73332,0.79494,0.58305,0.88183,0.84004,1.02205,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
106,1098.71,0.60871,0.46516,0.88298,0.80249,0.68496,0.76622,0.57087,0.87852,0.92936,1.02032,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
107,1108.31,0.59348,0.46215,0.88534,0.79332,0.7097,0.77574,0.57664,0.87201,0.89549,1.00335,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
108,1118.55,0.60417,0.46498,0.88447,0.80379,0.75806,0.80298,0.58629,0.88553,0.90012,1.02799,0.0268221,0.0089407,0.0268221,0.0089407,0.0268221,0.0089407,0.0268221,0.0089407
109,1128.98,0.59929,0.46881,0.88521,0.80592,0.72677,0.77139,0.57717,0.88723,0.88908,1.04739,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
110,1139.34,0.59258,0.45894,0.88398,0.82086,0.73876,0.7969,0.59209,0.8735,0.87088,1.01366,0.0267627,0.0089209,0.0267627,0.0089209,0.0267627,0.0089209,0.0267627,0.0089209
111,1149.13,0.59386,0.45515,0.88095,0.84098,0.71323,0.78214,0.58324,0.88254,0.92074,1.02341,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
112,1159.15,0.59341,0.45539,0.88272,0.822,0.72628,0.78407,0.59389,0.87425,0.89304,1.04455,0.0267033,0.0089011,0.0267033,0.0089011,0.0267033,0.0089011,0.0267033,0.0089011
113,1169.03,0.59768,0.45362,0.88337,0.81301,0.73564,0.78661,0.59499,0.86918,0.87955,1.02308,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
114,1179.07,0.60591,0.46478,0.88192,0.8148,0.75107,0.7877,0.58857,0.8881,0.86719,1.03646,0.0266439,0.0088813,0.0266439,0.0088813,0.0266439,0.0088813,0.0266439,0.0088813
115,1189.17,0.59422,0.45311,0.87908,0.80762,0.71298,0.77072,0.58592,0.86197,0.87577,1.00103,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
116,1199.24,0.5874,0.44647,0.87773,0.78888,0.73804,0.79133,0.59299,0.85852,0.90544,1.0108,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
117,1209.26,0.605,0.45842,0.88163,0.80941,0.71958,0.78331,0.57951,0.85916,0.89765,1.01063,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
118,1219.03,0.60115,0.46044,0.88167,0.76448,0.75099,0.7787,0.5741,0.89129,0.93491,1.03081,0.0265251,0.0088417,0.0265251,0.0088417,0.0265251,0.0088417,0.0265251,0.0088417
119,1228.53,0.59214,0.45489,0.87696,0.82917,0.71774,0.7821,0.58378,0.89405,0.9027,1.04114,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318
